ID,品类,商品名,品牌,店铺名,经济体,省份,地级市,原价,快递费,是否天猫,活动价1,月销量1,累计评价1,信誉1,活动价2,月销量2,累计评价2,信誉2,活动价3,月销量3,累计评价3,信誉3,活动价4,月销量4,累计评价4,信誉4,活动价5,月销量5,累计评价5,信誉5,活动价6,月销量6,累计评价6,信誉6
559895089231,肉,牛肉干,湘妹子,328b9a21ecf68406,中国大陆,湖南,张家界,22.8,0.0,0,22.8,174.0,394.0,104552.0,22.8,152.0,486.0,105778.0,22.8,109.0,569.0,106877.0,22.8,103.0,521.0,107801.0,22.8,82.0,499.0,108614.0,22.8,105.0,457.0,109473.0
39143842531,肉,猪蹄,周钦公,5f547a5afcf773d1,中国大陆,中国大陆,青岛,348.0,0.0,1,190.0,9.0,149.0,-1.0,190.0,15.0,148.0,-1.0,190.0,364.0,145.0,-1.0,348.0,13.0,159.0,-1.0,190.0,9.0,159.0,-1.0,215.0,3.0,157.0,-1.0
541195515006,肉,腊肉,鑫源,67468a4d6c2374ce,中国大陆,广东,东莞,138.0,0.0,1,120.0,4.0,17.0,-1.0,130.0,40.0,14.0,-1.0,130.0,30.0,21.0,-1.0,130.0,3.0,25.0,-1.0,130.0,5.0,25.0,-1.0,130.0,4.0,26.0,-1.0
567049187065,肉,五花肉,other/其他,ff4f7ce0cb99107c,中国大陆,贵州,遵义,29.8,0.0,0,29.8,122.0,284.0,21168.0,29.8,50.0,272.0,23373.0,29.8,53.0,225.0,24798.0,29.8,19.0,195.0,25724.0,29.8,16.0,173.0,26950.0,29.8,25.0,126.0,28233.0
574242502777,肉,牛肉,麦尚,ecc655e4fa4cc199,中国大陆,浙江,杭州,12.0,5.0,0,9.8,94.0,214.0,911777.0,9.8,71.0,278.0,938981.0,9.8,51.0,331.0,961329.0,9.8,66.0,334.0,971827.0,9.8,151.0,343.0,987040.0,9.8,147.0,379.0,1007877.0
579313889829,肉,牛肉,依康,80f577ce48a62706,中国大陆,山东,德州,29.0,8.0,0,34.0,0.0,1.0,80.0,37.05,0.0,1.0,236.0,39.0,0.0,1.0,458.0,37.05,0.0,1.0,573.0,37.05,0.0,1.0,697.0,37.05,0.0,0.0,855.0
534380648720,肉,牛肉,巴口香,a6c65cadb9f1333f,中国大陆,新疆维吾尔族自治区,伊犁哈萨克自治州,13.5,7.0,0,13.3,29.0,87.0,69502.0,13.3,20.0,69.0,70645.0,13.3,7.0,66.0,71818.0,13.3,4.0,59.0,72743.0,13.3,24.0,51.0,73355.0,13.3,9.0,49.0,74044.0
558393071064,肉,驴肉,老驴头,cbd41db9c2330461,中国大陆,河北,保定,138.0,0.0,1,88.0,164.0,257.0,-1.0,88.0,142.0,297.0,-1.0,88.0,387.0,356.0,-1.0,98.0,41.0,382.0,-1.0,98.0,64.0,394.0,-1.0,89.0,84.0,401.0,-1.0
541146452913,肉,鹿肉,吴琼,5ff43a568c890c78,中国大陆,吉林,长春,49.9,0.0,1,49.9,135.0,35.0,-1.0,85.0,33.0,41.0,-1.0,85.0,46.0,42.0,-1.0,89.9,13.0,44.0,-1.0,89.9,16.0,46.0,-1.0,88.9,17.0,44.0,-1.0
575713067683,肉,牛肉,遛洋狗,9aeae9150dc2b0e2,中国大陆,四川,成都,39.0,5.0,1,39.0,262.0,407.0,-1.0,39.0,717.0,562.0,-1.0,39.0,101.0,579.0,-1.0,39.0,38.0,583.0,-1.0,39.0,37.0,590.0,-1.0,39.0,72.0,600.0,-1.0
