ID,活动价,累计评价,月销量,信誉,天猫分数
548275399039,266.0,31.0,4.0,14807.0,0.0
553429294605,178.0,141.0,38.0,,4.9
45143766278,149.8,389.0,212.0,16290.0,0.0
577162140380,148.0,79.0,100.0,13106.0,0.0
556832460904,118.0,10.0,9.0,367.0,0.0
44402556578,57.5,41.0,140.0,1895.0,0.0
564375850006,167.8,49.0,37.0,2798.0,0.0
564322760807,56.0,1958.0,161.0,7501.0,0.0
548054204868,58.6,159.0,177.0,7663.0,0.0
524825914727,50.5,1520.0,656.0,172294.0,0.0
556679221430,315.0,184.0,100.0,,4.8
565487791561,150.0,4.0,0.0,66.0,0.0
521434684593,0.71,254.0,14589.0,29822.0,0.0
576707947853,1.58,4.0,0.0,1774.0,0.0
570723295305,49.99,24.0,7.0,37.0,0.0
556522433012,42.0,13.0,2.0,1302.0,0.0
528225568429,60.0,19.0,22.0,482.0,0.0
523849280243,76.9,302.0,171.0,19109.0,0.0
45361564987,31.5,265310.0,32435.0,,4.8
554836288559,68.8,31.0,0.0,6924.0,0.0
540483607637,45.0,82.0,0.0,,5.0
562357839261,87.5,78.0,38.0,648.0,0.0
573746756985,52.0,43.0,9.0,429.0,0.0
575616271031,27.9,308.0,189.0,270585.0,0.0
534451146370,46.9,3.0,0.0,45545.0,0.0
571394952832,58.8,298.0,150.0,,4.7
576839178885,59.5,912.0,119.0,917.0,0.0
574174614947,59.8,3848.0,1100.0,,4.8
547684373402,120.0,32.0,8.0,331.0,0.0
523141094810,26.5,366.0,84.0,53836.0,0.0
529269454620,88.0,29.0,35.0,12742.0,0.0
553282614403,31.5,12965.0,1193.0,45020.0,0.0
547342361263,95.0,103.0,24.0,24498.0,0.0
567413353765,36.8,10924.0,4058.0,23808.0,0.0
553114445999,88.0,24.0,1.0,385.0,0.0
36761232091,54.9,1716.0,469.0,123980.0,0.0
578775453022,87.0,10.0,14.0,,4.1
558435511865,99.0,95.0,8.0,844.0,0.0
565996966673,37.6,11.0,1.0,7071.0,0.0
576594489858,16.9,157.0,13.0,45022.0,0.0
39514340792,33.8,1279.0,16.0,,4.7
536424180902,29.9,26.0,0.0,,5.0
567629912085,20.9,247.0,69.0,,4.7
553531083453,29.8,20.0,7.0,15085.0,0.0
576139424933,70.8,92.0,82.0,,4.9
534496350225,18.0,60.0,26.0,176206.0,0.0
44532371316,58.0,45.0,39.0,49498.0,5.0
43213054311,29.9,1331.0,250.0,,4.7
521797014468,35.9,1455.0,3896.0,668338.0,0.0
523285528982,108.0,156.0,28.0,29807.0,0.0
538004003706,39.9,27.0,138.0,88135.0,0.0
558117392665,90.0,47.0,4.0,2820.0,0.0
562376664194,37.8,465.0,67.0,260211.0,0.0
522560412030,37.0,42.0,14.0,23333.0,0.0
551326842742,18.8,2460.0,144.0,28757.0,0.0
566263303019,20.9,6688.0,673.0,11243.0,0.0
37949475130,119.41,15.0,22.0,9090.0,4.9
576445734385,59.9,194.0,184.0,,4.8
568286522587,758.0,29.0,19.0,,5.0
552770080988,35.0,356.0,40.0,1227.0,0.0
44838406910,149.0,65.0,23.0,,5.0
544996360450,47.5,1153.0,318.0,13518.0,0.0
541264086316,95.0,123.0,97.0,64434.0,0.0
559259031144,53.8,91.0,34.0,,4.9
41708854111,1.2,90.0,250.0,33179.0,0.0
544907522285,59.9,5.0,0.0,4429.0,0.0
574229982417,568.0,7.0,1.0,,5.0
530751151950,10.3,70.0,25.0,99343.0,0.0
547574591041,65.8,6.0,5.0,,5.0
563219709136,108.0,505.0,137.0,8199.0,0.0
566345918079,62.4,96.0,60.0,49292.0,0.0
560110416649,68.0,30.0,4.0,,4.2
562895396306,1.8,5.0,0.0,208.0,0.0
545736869479,42.9,460.0,210.0,191360.0,0.0
561180882585,75.0,82.0,14.0,747.0,0.0
528517339966,28.68,355.0,146.0,4931.0,0.0
530186422513,63.0,46.0,12.0,1622.0,0.0
576278967734,69.9,98.0,45.0,13828.0,0.0
565487795651,98.0,2.0,0.0,1683.0,0.0
566215565578,23.8,28.0,0.0,29158.0,0.0
558997737668,58.0,15.0,10.0,7489.0,0.0
537551770037,68.0,2.0,0.0,304.0,0.0
561404321634,120.0,17.0,3.0,730.0,0.0
547699476367,65.0,81.0,22.0,296.0,0.0
556740045557,1.2,81.0,2018.0,4487.0,0.0
539565308626,61.0,377.0,49.0,27815.0,0.0
530633694508,56.8,7307.0,1303.0,104972.0,0.0
561194318135,29.9,9.0,0.0,2673.0,0.0
540444466898,58.0,382.0,81.0,5695.0,0.0
579090958084,8.0,20.0,125.0,7365.0,0.0
567052385419,17.8,564.0,103.0,1229552.0,0.0
543469233294,1.95,21.0,158.0,3992.0,0.0
