ID,电影名,地区,导演,主演,类型,特色,评分,评分标准差
1297630,第六感,美国,M·奈特·沙马兰,布鲁斯·威利斯|海利·乔·奥斯蒙|托妮·科莱特|奥莉维亚·威廉姆斯|唐尼·沃尔伯格,惊悚|悬疑|恐怖|剧情,感人|经典,8.8,1.4734201959822433
1297689,少数派报告,美国,史蒂文·斯皮尔伯格,汤姆·克鲁斯|科林·法瑞尔|马克斯·冯·叙多夫|萨曼莎·莫顿|凯瑟琳·莫里斯,犯罪|剧情|惊悚|悬疑|科幻|动作,经典,7.7,1.2433796520792852
1297785,星球大战前传2：克隆人的进攻,美国,乔治·卢卡斯,伊万·麦克格雷格|娜塔莉·波特曼|海登·克里斯滕森|克里斯托弗·李|塞缪尔·杰克逊,爱情|战争|剧情|奇幻|科幻|冒险|动作,经典,7.8,1.2493091899367694
1297929,异形3,美国,大卫·芬奇,西格妮·韦弗|查尔斯·达顿|查尔斯·丹斯|保尔·麦克盖恩|布莱恩·格洛弗,剧情|惊悚|恐怖|悬疑|科幻|冒险|动作,经典,7.0,1.19981361153425
1297965,窈窕淑女,美国,乔治·库克,奥黛丽·赫本|雷克斯·哈里森|斯坦利·霍洛威|杰瑞米·布雷特|维尔弗雷德·海德-怀特,爱情|剧情|喜剧|音乐|歌舞,经典,8.0,1.2491952265436597
1298038,诺丁山,英国,罗杰·米歇尔,朱莉娅·罗伯茨|休·格兰特|瑞斯·伊凡斯|詹姆斯·德雷福斯|艾米莉·莫迪默,爱情|喜剧|剧情,经典|文艺,7.9,1.3804221580508518
1298070,加勒比海盗,美国,戈尔·维宾斯基,约翰尼·德普|杰弗里·拉什|奥兰多·布鲁姆|凯拉·奈特莉|杰克·达文波特,爱情|喜剧|奇幻|剧情|科幻|冒险|动作,搞笑|魔幻|经典,8.6,1.4314584545500852
1298128,西雅图未眠夜,美国,诺拉·艾芙隆,汤姆·汉克斯|梅格·瑞恩|罗斯·马林格|丽塔·威尔逊|维克多·加博,爱情|剧情|喜剧,感人|经典,7.9,1.305316716025833
1298189,极速60秒,美国,多米尼克·塞纳,尼古拉斯·凯奇|吉奥瓦尼·瑞比西|安吉丽娜·朱莉|威廉姆·李·斯科特|斯科特·凯恩,剧情|犯罪|惊悚|冒险|动作,经典,7.3,1.2017987490844428
1298525,碟中谍2,德国,吴宇森,汤姆·克鲁斯|多格雷·斯科特|坦迪·牛顿|文·瑞姆斯|理查德·劳斯伯格,犯罪|剧情|惊悚|悬疑|冒险|动作,经典,7.0,1.222383902992549
1298586,木乃伊归来,美国,斯蒂芬·索莫斯,布兰登·费舍|蕾切尔·薇兹|道恩·强森|约翰·汉纳|帕翠西娅·维拉奎兹,剧情|奇幻|惊悚|恐怖|科幻|冒险|动作,魔幻|经典,7.4,1.2724663593755192
1298624,闻香识女人,美国,马丁·布莱斯,阿尔·帕西诺|克里斯·奥唐纳|詹姆斯·瑞布霍恩|加布里埃尔·安瓦尔|菲利普·塞默·霍夫曼,爱情|剧情,感人|经典|励志|文艺,8.9,1.464692841203324
1298653,荒岛余生,美国,罗伯特·泽米吉斯,汤姆·汉克斯|海伦·亨特|克里斯·诺斯|尼克·西塞,爱情|剧情|喜剧|冒险|灾难,经典|励志,8.5,1.3689631661867083
1298744,十二猴子,美国,特瑞·吉列姆,布鲁斯·威利斯|布拉德·皮特|大卫·摩斯|克里斯托弗·普卢默|乔恩·塞达,科幻|惊悚|悬疑|剧情,经典,8.1,1.34599987968923
1298759,狗镇,丹麦,拉斯·冯·提尔,妮可·基德曼|哈里特·安德森|劳伦·白考尔|保罗·贝坦尼|詹姆斯·肯恩,惊悚|悬疑|剧情|犯罪,经典,8.4,1.556805579227468
